Quirrell,McGonagall,26
Quirrell,Percy,39
Quirrell,Snape,12
Quirrell,Slytherin,21
Quirrell,Argus Filch,3
Quirrell,Ron,57
Quirrell,Seamus Finnigan,3
Quirrell,Hermione,705
Quirrell,Gryffindor,62
Quirrell,Lord Voldemort,249
Quirrell,Weasley,31
Griphook,Harry,211589
Griphook,Gornuk,144
Griphook,Hermione,49619
Griphook,Severus Snape,9
Griphook,Bill,4054
Griphook,Scabior,128
Griphook,Ollivander,1308
Griphook,Bellatrix,1143
Griphook,Dobby,1243
Griphook,Muriel,46
Griphook,Travers,490
Griphook,Bogrod,2520
Madam Malkin,Harry,6439
Madam Malkin,Hermione,1032
Madam Malkin,Weasley,193
Madam Malkin,Molly,32
Madam Malkin,Ginny,128
Madam Malkin,Bill,4
Madam Malkin,Kingsley Shacklebolt,1
Madam Malkin,Remus Lupin,2
Madam Malkin,Fred,1
Madam Malkin,George,1
Madam Malkin,Arabella Figg,1
Ollivander,Harry,53224
Ollivander,Quirrell,24
Ollivander,Fleur Delacour,6
Ollivander,Cedric,48
Ollivander,Viktor Krum,3
Ollivander,Rita Skeeter,63
Ollivander,Petunia,3
Ollivander,Weasley,44
Ollivander,Lord Voldemort,1
Ollivander,Hermione,2867
Ollivander,Mad-Eye,1
Ollivander,Narcissa,40
Ollivander,Lucius,49
Ollivander,Griphook,1308
Ollivander,Dobby,104
Ollivander,Muriel,88
Ollivander,Bill,544
Ollivander,George,8
Ollivander,Ginny,4
Ollivander,Fred,4
Ollivander,Draco Malfoy,2
Ollivander,Bellatrix,14
Hedwig,Petunia,148
Hedwig,Harry,72887
Hedwig,Dudley,119
Hedwig,Vernon,596
Hedwig,Ron,38
Hedwig,Charlie,11
Hedwig,Fluffy,12
Hedwig,Hermione,3948
Hedwig,Dobby,346
Hedwig,Fred,271
Hedwig,George,251
Hedwig,Oliver Wood,1
Hedwig,Gryffindor,1
Hedwig,Weasley,292
Hedwig,Errol,189
Hedwig,Percy,48
Hedwig,Crookshanks,8
Hedwig,Pigwidgeon,77
Hedwig,Flitwick,10
Hedwig,Crouch,24
Hedwig,Tonks,676
Hedwig,Moody,35
Hedwig,Luna Lovegood,28
Hedwig,Binns,190
Hedwig,Grubbly-Plank,152
Hedwig,McGonagall,228
Hedwig,Bill,48
Ginny,Percy,1630
Ginny,Fred,7947
Ginny,Weasley,10404
Ginny,Harry,581099
Ginny,George,7945
Ginny,Lee Jordan,74
Ginny,Gilderoy Lockhart,153
Ginny,Hermione,77980
Ginny,Arthur,441
Ginny,McGonagall,310
Ginny,Colin Creevey,6
Ginny,Bill,2828
Ginny,Dobby,13
Ginny,Fawkes,2967
Ginny,Lord Voldemort,126
Ginny,Lucius,189
Ginny,Ravenclaw,116
Ginny,Penelope Clearwater,21
Ginny,Pigwidgeon,122
Ginny,Errol,13
Ginny,Charlie,507
Ginny,Crookshanks,51
Ginny,Amos,8
Ginny,Fleur Delacour,10
Ginny,Moody,348
Ginny,Parvati,54
Ginny,Sinistra,2
Ginny,Rita Skeeter,7
Ginny,Tonks,340
Ginny,Kreacher,66
Ginny,Dudley,33
Ginny,Neville Longbottom,60
Ginny,Luna Lovegood,236
Ginny,Trevor,96
Ginny,Nearly Headless Nick,21
Ginny,Katie Bell,39
Ginny,Alicia Spinnet,8
Ginny,Angelina Johnson,8
Ginny,Dennis Creevey,8
Ginny,Ernie Macmillan,20
Ginny,Justin Finch-Fletchley,8
Ginny,Hannah Abbott,8
Ginny,Anthony Goldstein,16
Ginny,Michael,162
Ginny,Cho Chang,42
Ginny,Montague,48
Ginny,Phineas Nigellus,24
Ginny,Millicent Bulstrode,84
Ginny,Bellatrix,13
Ginny,Flitwick,15
Ginny,Dean Thomas,57
Ginny,Molly,42
Ginny,Madam Malkin,128
Ginny,Gabrielle,65
Ginny,Demelza Robins,79
Ginny,Viktor Krum,76
Ginny,Zacharias,228
Ginny,Romilda Vane,97
Ginny,Remus Lupin,29
Ginny,Buckbeak,7
Ginny,Moaning Myrtle,84
Ginny,Pansy Parkinson,21
Ginny,Peter Pettigrew,21
Ginny,Amycus,4
Ginny,Pomfrey,19
Ginny,Muriel,25
Ginny,Mad-Eye,33
Ginny,Fenrir Greyback,4
Ginny,Xenophilius,34
Ginny,Ollivander,4
Ginny,Terry,6
